POSITION_TITLE,QUALIFICATIONS,EDUCATION_TYPE,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,AWARDS,COMMUNITY_SERVICE,VOLUNTEERING,DRIVERS_LICENSE_AVAILABILITY,SKILLS_COUNT,SKILLS,LANGUAGES
TERRITORY HR MANAGER,"Human Resources Leadership  Employee Relations  Certified Strategic Workforce Planner  Employee Development  Performance Analysis, Coaching, Counseling       Leadership/communication skills  Advising and navigating crucial conversations  Employee Engagement  Wage Analysis  Legal Compliance            Core Accomplishments      Successfully leads all Human Resource/Employee Relations functions for a 14 state Territory, with 250 stores, 25,000 Non-Exempt Employees (peak), and 750 Exempt Employees",Bachelor,university,science,33.0,no,no,no,no,0,[],1
GENERAL HR ASSISTANT,Effective communicator and team leader with excellent time management skills,Bachelor,university,business administration,19.0,no,no,no,no,42,"['administrative', 'banking', 'basic', 'benefits', 'Call Center', 'clerical', 'coaching', 'client', 'clients', 'database', 'documentation', 'Employee Relations', 'fax', 'filing', 'financial', 'forms', 'funds', 'Human Resource Management', 'Human Resources', 'HR', 'Insurance', 'maintains inventory', 'letters', 'notes', 'mailing', 'materials', 'office applications', 'office', 'monitors', 'office equipment', 'Organizational', 'payroll', 'personnel', 'quality', 'research', 'spreadsheets', 'surveys', 'tax preparation', 'telephone', 'employee handbooks', 'troubleshooting', 'workshops']",1
SENIOR HR BUSINESS PARTNER,Human Resources Professional with 8 years of experience in human resources and recruiting,Bachelor,university,science,8.0,no,no,no,no,44,"['ADA', 'benefits', 'Benefits Administration', 'call center', 'coaching', 'conflict resolution', 'Employee Relations', 'training employees', 'senior management', 'functional', 'hiring', 'HUMAN RESOURCES MANAGER', 'human resources', 'HR', 'teambuilding', 'Law', 'legal compliance', 'managing', 'mechanic', 'mediation', 'Access', 'Excel', 'MS Office', 'office', 'Outlook', 'PowerPoint', 'win', 'Word', 'negotiating', 'Organizational Development', 'PeopleSoft', 'Personnel', 'Policies', 'Quality', 'Recruitment', 'recruiting', 'Safety', 'sound', 'staff development', 'staffing', 'Structured', 'teamwork', 'Transportation', 'workshops']",1
HR BUSINESS PARTNER II,To obtain a position in the Human Resources field where I can utilize proven people-oriented skills to develop and promote a positive work environment,Bachelor,university,,,yes,no,yes,no,47,"['Administrative Assistant', 'attention to detail', 'banking', 'benchmarking', 'Clerical', 'excellent communication', 'competitive', 'Consultant', 'Customer Service', 'delivery', 'Driving', 'fast', 'focus', 'Human Resources', 'HR', 'Leadership', 'listening', 'Director', 'Market', 'Marketing', 'Microsoft Access', 'Microsoft Excel', 'Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'SharePoint', 'Microsoft Word', 'nursing', 'organizational design', 'organizational skills', 'organizational', 'Perioperative', 'profit', 'Project Lead', 'Recording', 'Recruiting', 'Retail', 'sales', 'Scheduling', 'Supervisor', 'swift', 'employee development      Additional Information      Corporate Citizenship/Certifications Awards Horizon Award Recipient', 'ROCKS Award Recipient Six Sigma Yellow Belt Trained 2010 Project SEARCH Project SEARCH 5/3 Bank Donations Committee Chair 2010', '2011', 'Auction to Benefit Project SEARCH planning committee Teach a Child to Save Classroom Initiative United Way Donations Captain', 'Day of Caring Volunteer', 'Contributor']",1
RECRUITING AND HR MANAGER,"Experienced Corporate Recruiter who is self-motivated, results driven, highly responsive and able to prioritize effectively to accomplish multiple tasks and stay calm under pressure",Bachelor,university,science,6.0,yes,no,no,no,20,"[' Recruiting', 'Staffing', 'Training', 'College Recruiting', 'Sourcing', 'Phone screens', 'Interviewing', 'Negotiation', 'Recruiting Events', 'New Hires', 'On-boarding', 'HRIS/ATS', 'HR Administration', 'Employee Issues', 'Terminations', 'Recruiting Best Practices', 'Performance Evaluations', 'EEO', 'Human Resources Management', 'Ms Office Suite']",1
REGIONAL HR DEPUTY MANAGER,Competent HR Generalist and seasoned recruiter with an extensive background in HR Operations functions across large corporates,Bachelor,university,human resources,5.0,yes,no,no,no,26,"['Assistant Manager', 'banking', 'counseling', 'clients', 'hiring', 'HR', 'marketing', 'MS Excel', 'Office', 'MS Outlook', 'MS PowerPoint', 'MS Word', 'negotiations', 'network', 'Oracle', 'PeopleSoft', 'performance management', 'personnel', 'policies', 'processes', 'Recruitment', 'recruiting', 'reporting', 'sales training', 'Vendor Management', 'annual reports']",1
SR,"Proficient in Microsoft Word Suite (Word, PowerPoint, Excel, Outlook and Access)   Kronos Timekeeper  Hyperion   PeopleSoft      Project Management   Leadership/Communication Skills   Employee Relations   Market research and analysis              Core Accomplishments      Project Management:    Initiated  ""Caught You Serving"" program to recognize and highlight employees and departments who exceeded patient outcome goals and provided exceptional customer service",Doctorate,university,business administration,12.0,yes,no,no,no,16,"['Proficient\nin Microsoft Office and HRIS systems.   Extensive HR experience including\nstrategic talent acquisition', 'orientation', 'benefits', 'compensation', 'employee\nretention', 'training and development', 'employee relations', 'labor laws', 'and implementing\ncompliance', 'policies and procedures.   Expertise in management', 'analysis', 'researching\nmarket trends', 'performance improvement', 'and forecasting.   Excellent\ninterpersonal', 'coaching', 'and conflict resolution skills']",1
HR SHARED SERVICES ANALYST,"Versatile HR professional with a strong benefits administration background, progressive cross-functional experience in broad range of HR functions including; HRIS, state and federal reporting, project management, client and vendor relation management, HR regulations, employee relations, HR policies and procedures, training, candidate screening and interviewing, employee oversight      Highlights        Applaud, Colleague, SAP, ADP, PeopleSoft, Microsoft Office, Aon/Hewitt HRIS Systems              Experience      HR Shared Services Analyst    September 2015   to   Current     Company Name   －   City  ,   State      Provide customer support for HRIS questions and issues by researching resolving simple to complex policy and transactional questions related to the use of the PeopleSoft HRIS and HR administrative policies and practices",Bachelor,university,business,16.0,no,no,no,no,27,"['administrative', 'ADP', 'backup', 'Benefits', 'counseling', 'client', 'customer support', 'Documentation', 'forms', 'HRIS', 'human resource', 'Human Resources', 'HR', 'law', 'Director', 'market', 'Microsoft Office', 'payroll', 'PeopleSoft', 'personnel', 'policies', 'processes', 'reporting', 'researching', 'research', 'SAP', 'technical support']",1
VOLUNTEER HR,"Sponsorship not required to work in the US A successful Human Resources Professional, with a Masters qualification in Human Resources and experience in a challenging environment Key skill sets include Recruitment - Recruitment efforts, scheduling, posting positions, follow up and offer letters",Master,university,commerce,10.0,no,no,yes,no,47,"['.NET', 'ACADEMIC', 'accounting', 'aims', 'C', 'C++', 'closing', 'cold calling', 'contracts', 'client', 'data modeling', 'Database', 'data warehousing', 'fast', 'focus', 'functional', 'HR', 'Informatica', 'J2EE', 'Java', 'Linux', 'logistics', 'market', 'mechanical', 'mentoring', 'Microsoft technologies', 'Windows', 'negotiating', 'networking', 'Internet research', 'Oracle', 'organizational', 'payroll', 'personnel', 'Policies', 'presentations', 'Profit', 'Quality', 'Recruitment', 'recruiting', 'requirement', 'SAP', 'Scheduling', 'SQL Server', 'teaching', 'unique', 'UNIX']",1
GLOBAL HR MANAGER,A Global HR Professional with 10+ years' progressive experience across industries and geographies,Master,university,industrial and labor relations,10.0,yes,no,no,no,55,"[' Adobe Acrobat', 'Analyst', 'Architect', 'balance', 'basic', 'benefits', 'budget management', 'calibration', 'charts', 'consulting', 'contracts', 'client', 'data analysis', 'database administration', 'Finance', 'focus', 'functional', 'German', 'hiring', 'HRIS', 'Human Resources', 'HR', 'Information Systems', 'labor relations', 'Latin', 'Leadership', 'Leadership Development', 'legal compliance', 'Director', 'management skills', 'Managing', 'Mandarin Chinese', 'Mentoring', 'Excel', 'Power Point', 'Microsoft Word', 'negotiations', 'next', 'organizational development', 'organizational', 'Performance Management', 'personnel', 'processes', 'recruiting', 'recruitment', 'Risk Analysis', 'sales', 'SAP', 'Spanish', 'staffing', 'strategy', 'strategic', 'Vaccines', 'Visio', 'annual reports']",4
HR,"Human Resources Manager Certified Professional in Human Resources (PHR) Extensive background in human resources management, including experience in workforce planning and employment, human resource development, compensation and benefits, risk management, employee and labor relations, HR technology, global and international HR, talent management",Master,university,science,15.0,yes,no,no,no,0,[],1
HR SPECIALIST,,Master,university,human services,,yes,no,no,no,69,"['Hr', 'Maintenance', 'Registrations', 'Staffing', 'Training', 'Access', 'Account Maintenance', 'General Account', 'Access Control', 'Architecture', 'Archiving', 'Csu', 'Hardware Troubleshooting', 'Intranet', 'Microsoft Sharepoint', 'Sap', 'Sharepoint', 'Web Based', 'Web-based', 'Audits', 'Clerical', 'Coding', 'File', 'Flsa', 'Job Analysis', 'Operations', 'Ppp', 'Quality Control', 'Recruitment', 'Technical Assistance', 'Answering', 'Benefits', 'Bi', 'Business Intelligence', 'Cac', 'Compensation', 'Customer Accounts', 'Databases', 'Employee Benefits', 'Excel', 'Federal Regulations', 'Microsoft Access', 'Microsoft Excel', 'Ms Access', 'Statistical Analysis', 'User Experience', 'Publishing', 'Hr Issues', 'Hr Process Improvement', 'Human Resources', 'Process Improvement', 'Process Improvements', 'Proposals', 'Solutions', 'Training Programs', 'Ar', 'Dod', 'Gsa', 'Information Assurance', 'Online Learning', 'Online Training', 'Security', 'Associate', 'Credit', 'Database', 'Database Management', 'Desktop Publishing', 'Project Management', 'Word']",1
DIRECTOR OF HR,"Customer-oriented                Professional Experience      Director of HR    January 2013   to   Current     Company Name   －   City  ,   State      Directly report to the CEO and VP of a 65-year old real estate property management company",Bachelor,university,human resources management business administration,5.0,yes,no,no,no,54,"['accounts payable', 'accounts receivable', 'benefits', 'benefits administration', 'billing', 'budgets', 'budget', 'coaching', 'contracts', 'Council', 'client', 'clients', 'DC', 'employee relations', 'senior management', 'fast', 'Finance', 'financial', 'financial statements', 'general ledger', 'government', 'Human Resources', 'HR', 'leadership', 'law', 'legal', 'Director', 'market', 'mentoring', 'office', 'Windows platform', '2000', 'negotiations', 'Novell', 'office and equipment', 'Office Manager', 'organizational', 'payroll', 'payroll processing', 'performance management', 'policies', 'Project lead', 'project management', 'property management', 'Quality', 'rapport', 'real estate', 'recruitment', 'Research', 'space planning', 'strategic', 'supervision', 'teamwork', 'telephone']",1
HR SENIOR SPECIALIST,,Master,college,,14.0,yes,no,yes,no,52,"['Administrative', 'administrative assistant', 'administrative support', 'Attorney', 'benefits', 'call center', 'clerical', 'conferences', 'client', 'Customer Service', 'Data entry', 'databases', 'data base', 'direct marketing', 'documentation', 'Fluent in English', 'equity', 'filing', 'focus', 'forms', 'General office', 'government', 'hiring', 'Human Resources', 'Insurance', 'Director', 'market', 'materials', 'meetings', 'Access', 'Excel', 'mail', 'Outlook', 'network', 'personnel', 'policies', 'presentations', 'processes', 'quality', 'Reporting', 'secretarial', 'Spanish', 'spreadsheet', 'supervisor', 'supervision', 'tax', 'telephone', 'phone', 'phone etiquette', 'travel arrangements', 'type', 'word processing']",2
HR CUSTOMER SERVICE REPRESENTATIVE,"Excellent team player with legal background and  abilities to interpret laws, procedures, policies and processes; Client-oriented, results-driven and deadline-oriented with a high degree of initiative; Capable to undertake and resolve numerous and complex assignments with minimal supervision",Master,university,business administration,4.0,no,no,no,no,26,"['Accounting', 'agency', 'benefits', 'clientele', 'client', 'clients', 'database', 'delivery', 'Department of Health', 'fax', 'filing', 'HR', 'insurance', 'marketing plan', 'materials', 'Payroll', 'policies', 'presentations', 'processes', 'quality', 'quality assurance', 'quest', 'Research', 'Service Level Agreement', 'supervision', 'telephone']",1
HR SERVICES REPRESENTATIVE,A multi-skilled professional with good all-round HR imformatory skills,Bachelor,university,,1.0,no,no,no,no,37,"[' Human Resource Management', 'Basis', 'Benefit Plans', 'Benefits', 'Claims', 'Contracts', 'Databases', 'Documentation', 'File', 'Hr', 'Increase', 'Induction', 'Packaging', 'Recruiting', 'Recruitment', 'Security', 'Accounts And', 'Cash', 'Csr', 'Customer Service', 'Customer Service Representative', 'Dispatch', 'Faxing', 'Filing', 'Loans', 'Payroll', 'Receptionist', 'Retail Sales', 'Vouchers', 'Confident', 'Excel', 'Microsoft Word', 'Presentation Skills', 'Proactive', 'Self Motivated', 'Telephone', 'Word']",1
HR ASSISTANT INTERN,New graduate seeking work as a Counselor able to facilitate both individual and group therapy sessions to help participants overcome obstacles,Bachelor,university,,,no,no,no,no,14,"['      High energy  Sound judgment   Compassionate  Conflict resolution training  Exceptional problem solver  Excellent communication skills       \xa0Excellent writing skills  Customer service skills  Proficiency in Microsoft Excel', 'Word', 'PowerPoint and the Internet            Experience      HR Assistant Intern', 'Company Name', 'February 2016  -  March 2016    City', 'State     Provide administrative support to the Human Resources Director.  Verify I-9 documentation for new hires.  Submit the online investigation requests and assists with new employee background checks.  Update HR spreadsheet with employee change requests and process paperwork.         Owner', 'Operator', 'Company Name', 'August 2012  -  Current    City', 'State     Managed fashion retail store independently.  Provided professional support to staff.  Assisted retail store in exhibiting innovative products.         Preservation Technician I', 'Company Name', 'October 2004  -  May 2013    City', 'State     Responsible for the assembly of fabricated phase boxes', 'portfolios and custom enclosures for protecting historic and fragile library materials']",1
HR BENEFITS,,Bachelor,college,science,13.0,yes,no,no,no,25,"['    Proficient in all Microsoft applications and HRIS systems (Banner', 'PeopleAdmin', 'Personnel Management Information (PMIS) System and Benefits Eligibility System (BES)', 'VRS Navigator (VNAV))            Experience     December 2016   to   Current     Company Name   City', 'State     HR Benefits/Leave Coordinator        Provide consultation and assistance for all employee benefits.  Assist Retirement/Benefits Manager in counseling employees on retirements as well as generate retirement calculations.  Assist Retirement/Benefits Manager with retirement trainings.  Promote and coordinate all aspects of the Highlander Wellness Watch program.  Advise faculty/staff regarding leave policies and procedures.  Interpret and apply policies', 'procedures and guidelines.  Develop and present leave trainings for employees and supervisors.  Content editor for the HR newsletter and HR website committee.  Analyze and reconcile leave discrepancies.  Process and maintain Workers Compensation claims', 'short term disability claims and FMLA requests.  Coordinate return to work for employees on short term disability', 'FMLA and WC.  Maintain OSHA logs and reporting to include OSHA 301 and OSHA 300A reports.  Process employees leave corrections.  Process leave share requests and coordinate payments with payroll.  Calculate leave payouts for separating employees for payment.  Process reports in Banner (HRIS) to ensure leave policies and procedures are being adhered to and applied in regards to FLSA regulations.  Perform leave audits.  Provide programmatic support to employees and supervisors for the on-line leave reporting system.  Assist with other HR duties as needed to include job fairs', 'benefits fair', 'etc.  Maintain confidential and sensitive information.         November 2008   to   November 2016     Company Name   City', 'State     HR Leave Coordinator        Advise faculty/staff regarding leave policies and procedures.  Interpret and apply policies', 'procedures and guidelines.  Develop and present leave trainings for employees and supervisors.  Analyze and reconcile leave discrepancies.  Process and maintain Workers Compensation claims', 'short term disability claims and FMLA requests.  Coordinate return to work for employees on short term disability', 'FMLA and WC.  Maintain OSHA logs and reporting to include OSHA 301 and OSHA 300A reports.  Process employees leave corrections.  Process leave share requests and coordinate payments with payroll.  Calculate leave payouts for separating employees for payment.  Process reports in Banner (HRIS) to ensure leave policies and procedures are being adhered to and applied in regards to FLSA regulations.  Assist with coordination of CommonHealth wellness program.  Perform leave audits.  Provide programmatic support to employees and supervisors for the on-line leave reporting system.  Assist with other HR duties as needed to include screening job applicants', 'new hire orientation', 'exit interviews', 'open enrollment for health insurance and flexible spending accounts', 'job fairs', 'benefits fair', 'etc.  Maintain confidential and sensitive information.         June 2004   to   November 2008     Company Name   City', 'State     Personnel Transaction Specialist/Human Resource Assistant        Process new hires', 'transfers', 'promotions into Banner and PMIS systems.  Perform audits for payroll processing.  Process short term disability claims and FMLA requests.  Process leave share requests.  Coordinate docks with payroll.  Perform other duties and tasks as needed.  Maintain confidential and sensitive information.         August 2002   to   June 2004     Company Name   City', 'State     Communications Operator        Refer patients to appropriate areas for treatment.  Assist patients with questions and concerns via phone or walk-ins.  Answer incoming calls on a seven-line phone system.  Page doctors in a timely manner.  Update call schedules as changes occur.  File.  Overhead all codes in a timely manner.  Maintain patient confidentiality.          Education and Training          Bluefield College   City', '']",1
REGIONAL HR BUSINESS PARTNER,,Master,university,science,5.0,no,no,no,no,4,"['PeopleSoft', 'Microsoft Office Suite', 'ADP', 'and SAP']",2
HR PERSONNEL ASSISTANT,I am a U,Bachelor,university,arts,8.0,yes,no,no,no,56,"['Filing', 'Clerk', 'Maintenance', 'Clerical', 'Office Clerk', 'Clerical Support', 'Data Entry', 'Faxing', 'Incoming Mail', 'Legal Documents', 'Mail Clerk', 'Office Supplies', 'Stamping', 'Administrative Support', 'Audit', 'Auditing', 'Cases', 'Copying', 'Documentation', 'Documenting', 'Fbi', 'File', 'Finishing', 'Nrc', 'Scheduling', 'Basis', 'Correspondence', 'Database', 'Hr', 'Human Resources', 'Peoplesoft', 'Teaching', 'Inventory', '60 Wpm', 'Customer Service', 'Equipment Maintenance', 'Excel', 'File Management', 'Materials Management', 'Microsoft Word', 'Ms Excel', 'Ms Outlook', 'Ms Powerpoint', 'Office Assistant', 'Organizational Skills', 'Outlook', 'Powerpoint', 'Proofreading', 'Receptionist', 'Retail Sales', 'Scanning', 'Secretarial', 'Telephone', 'Telephone Skills', 'Typing', 'Word']",1
EXECUTIVE ASSISTANT HR,"Skillful and dedicated Executive Assistant with extensive experience in the coordination, planning and support of daily operational and administrative functions in a highly confidential environment",Master,college,business administration,21.0,no,no,no,no,52,"['accountant', 'administrative support', 'benefits', 'billing', 'brochures', 'budget', 'bi', 'charts', 'contracts', 'copying', 'clients', 'documentation', 'Drafting', 'Engineer', 'senior management', 'finance', 'forms', 'Human Resource', 'Human Resources', 'HR', 'insurance', 'letters', 'Lotus Notes', 'Director', 'managing', 'materials', 'meetings', 'Access', 'Excel', 'office', 'PowerPoint', 'Word', 'Oracle', 'organizing', 'payroll', 'personnel', 'policies', 'purchasing', 'quality control', 'Recruiting', 'research', 'Safety', 'SAP', 'scanning', 'seminars', 'shipping', 'Six Sigma', 'SOP', 'Staffing', 'tax', 'transportation', 'utilities']",1
SENIOR HR MANAGER,"Results-driven and business-oriented professional with strong experience in business operations, full-cycle human resources, and administrative management",Master,university,science,3.0,no,no,no,no,2,"['                Work History      Senior HR Manager', '']",1
HR MANAGER,A Human Resources Business Partner with extensive experience aligning HR strategy with business strategy for assigned business groups,Bachelor,university,business administration,22.0,yes,no,no,no,7,"['lf-motivated', 'detail oriented', 'organized', 'customer focused  Maintains high level of confidentiality  Proficient with MS Word', 'Excel', 'PowerPoint', 'Outlook']",1
DESIGNATION,"Human resources coordination and management professional offering a strong background in employee training and development, new hire orientations and employee relations",Master,,making a consolidated list of additions,5.0,no,no,no,no,5,"['  HRIS', 'ISO', 'Recruitment', 'Performance Appraisal', 'Training']",5
HR VOLUNTEER ASST,I am dedicated to every project I have worked on with strong undergraduate and graduate credentials including five years experience in Assisting Management of Human Resources,Doctorate,university,business administration,5.0,no,no,yes,no,2,"['       Human Resource Management    Product Design and Development    Strategic Warehouse Management    This is where I added to my knowledge of how to run an organization in an ethical manor making sure all aspects of being true to an organization', 'and making sure all policies and regulations are met within a timely manner making sure the organization does not have to suffer by paying unwanted fees taking them from the organizations cash flow']",1
HR SPECIALIST,"Passionate HR Specialist with over 10 years' extensive experience in completing reference checks, preliminary phone interviews, job advertisement preparation, recruitment assistance and the like",Bachelor,university,science,10.0,yes,no,no,no,5,"['      Word', 'Excel', 'PowerPoint', 'Outlook', '']",1
HR CONTACT CENTER SPECIALIST,"Forward-thinking professional with various experience in human resources, sales, customer service and education, offering excellent communication and computer skills; highly organized and meticulous",Bachelor,university,arts,1.0,yes,no,no,no,27,"['Benefits', 'Interpersonal skills', 'clients', 'data entry', 'database', 'e-mail', 'filing', 'HR', 'leadership', 'Team leadership', 'MS Office Suite', 'office', 'Multi-tasking', 'next', 'Payroll', 'policies', 'processes', 'quality', 'Recruitment', 'Self-motivated', 'Staffing', 'telephone', 'telephone etiquette', 'phone', 'Time management', 'year- end', 'year']",1
DESIGNER,"Designer with more than 15 years in product design, manufacturing, exhibit design and visual merchandising,  with comprehensive management and logistics experience who thrives in dynamically changing environments",Bachelor,college,laws,15.0,no,no,no,no,0,[],3
DESIGNER,"Established well-rounded Designer with a reputation for exquisitely designed collections,  who consistently maximizes company profits and surpasses margin goals",Bachelor,,arts,7.0,yes,no,no,no,2,"['  Critical Thinker - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions', 'conclusions or approaches to problems']",1
DESIGNER,"To get a strong foothold on the career ladder by doing the best I can and more, with a company that supports teamwork and utilizes the abilities of its employees",Bachelor,university,fine arts,,no,no,no,no,34,"['photo', 'Advertising', 'Arabic', 'artist', 'Arts', 'Art', 'Agency', 'basic', 'Good Communication skills', 'Computer literate', 'Creativity', 'database', 'Dec', 'Designing', 'Economics', 'English', 'Filling', 'French', 'LANGUAGES', 'Leadership skills', 'Math', 'Access', 'Excel', 'MS Office', 'PowerPoint', 'Word', 'organizing', 'paint', 'Physics', 'POS', 'Selling', 'Time management', 'typing skills', 'World Wide Web']",3
DESIGNER,"Creative fashion designer with background in the catagories of swim, intimate apparel, loungewear, and sportswear",Bachelor,university,applied science,21.0,no,no,no,no,0,[],1
MULTIMEDIA DESIGNER AND GRAPHIC DESIGNER,"A hardworking, focused and determined artist looking to obtain a full-time position as a Graphic Designer",Bachelor,university,fine arts,34.0,yes,no,no,no,4,"['      Adobe Photoshop  Adobe After Effects\xa0  Adobe Illustrator  Adobe InDesign  Adobe Premiere  Adobe Dream Weaver  Sketchbook Pro      Intermediate Html Coding  Microsoft Word  Windows  \xa0Troubleshooting  Calculator', 'printer', 'fax machine', 'etc']",1
GRAPHIC DESIGNER,"A graphic designer, who is creative and detail-oriented; who thinks a lot, but wants to make things clear and simple",Bachelor,university,arts,1.0,no,no,no,no,34,"['Adobe Creative Suite', 'Dreamweaver', 'Photoshop', 'Advertising', 'Arts', 'Art', 'branding', 'brochures', 'Chinese', 'CorelDraw', 'CSS', 'clients', 'Due diligence', 'edit', 'English', 'HTML', 'Illustrator', 'InDesign', 'interpretation', 'layout', 'logos', 'logo', 'marketing materials', 'Microsoft Office Suite', 'PowerPoint', 'packaging', 'posters', 'property management', 'Publicity', 'real estate', 'translation', 'typography', 'webpage design', 'web design']",2
LEARNING DESIGNER,,Master,university,science,32.0,no,yes,yes,no,0,[],1
GRAPHIC DESIGNER,Enthusiastic student majoring in Chemistry; great at performing many task in a timely matter and as efficient as possible,Bachelor,university,,14.0,yes,no,no,no,25,"[' 3D', 'Photoshop', 'advertising', 'animation', 'business management', 'Chemistry', 'computer networking', 'customer service', 'database analysis', 'designing', 'Graphic', 'Basic HTML', 'Illustrator', 'Inventory management', 'inventory', 'materials', 'Microsoft Office', 'NMR', 'Payroll', 'POS', 'profit', 'coding', 'Sales', 'scheduling', 'SQL server']",1
TECHNICAL DESIGNER,"SPECIAL QUALIFICATIONS: Textile Engineering Knitting and Garment Manufacturing Textile Printing and Finishing Yarn and Fabric Dyeing Spinning and Weaving Textile Construction and Embroidery Textile Testing       Highlights          CAD: Photoshop, Illustrator and Accutrac  Technical Packets  Garment Construction and Fit  Computerized and Manual Pattern Making  Garment Embellishment  Draping and Sewing  Fashion Illustrations Manual and Computerized  Merchandise & Line Development  Trend & Color Analysis  Understanding of Target Customer/Markets                Experience      Technical Designer     01/2015   to   Current      Company Name   City  ,   State      Created 65 complete development and production technical packages including spec sheets in 1 week",Master,university,,3.0,no,no,no,no,20,"['photo', 'Photoshop', 'CAD', 'catalog', 'Color', 'Designing', 'Fashion', 'Drawing', 'HR', 'Illustrator', 'Information Systems', 'materials', 'meetings', 'Organizational', 'Design process', 'quality', 'research', 'collecting samples', 'Trend', 'type']",1
MECHANICAL DESIGNER,I am a current Mechanical Designer for I,Bachelor,,landscape architecture,15.0,no,no,yes,no,43,"['blueprints', 'budgeting', 'budgets', 'budget', 'content', 'Negotiate contracts', 'Clients', 'customer service', 'documentation', 'drafting', 'equipment operation', 'features', 'fertilizers', 'forms', 'Inspect', 'inventory management', 'layout', 'Employee management', 'managing', 'mark', 'mechanical', 'modeling', 'personnel', 'policies', 'product design', 'product development', 'product improvement', 'progress', 'proposals', 'quality', 'quality control', 'Read', 'maintain records', 'renovations', 'safety', 'Scheduling', 'supervisor', 'supervising', 'upgrades', 'water quality        Additional Information      Volunteer Work\nBig Brother Big Sister\nMentor/Volunteer', 'February 2014 - September 2016\nFor Luv of Dogs\nFoster home/ food donations', '2013 - 2017\nGrove lake Lutheran Church\nChildren Services and Outings', '2015']",1
WEBSITE DESIGNER,"Software developer well-versed in the entire workflow for developing and implementing websites, including: consulting with the customer, designing mock-ups, programming the site, and incorporating customer feedback",Bachelor,university,,11.0,no,no,no,no,8,"['      Visual Studio.Net  ASP', 'ASP.Net  MVC 4.0  Visual Basic.Net  C#  Microsoft SQL Server', 'SQL', 'Stored Procedures  TFS (Team Foundation Server)  HTML5', 'CSS3  Javascript', 'JQuery  AngularJS  LINQ  PHP', 'mySQL  Adobe Design Suite  Agile Software Development Methodology              Accomplishments      JCH Digital Designs Portfolio', 'which lists a number of client sites']",1
FLORAL DESIGNER,I have been involved in the Retail Industry for over 44 years,Bachelor,,,44.0,yes,no,no,no,0,[],1
INSTRUCTIONAL DESIGNER,Tamantha Uebele is a Home Health Clinical Analyst and Instructional Designer with over 28 years' experience in home health and hospice and the Epic Home Health application for 5 years,Master,university,arts,28.0,no,no,no,no,0,[],1
INSTRUCTIONAL DESIGNER,,Doctorate,university,arts,20.0,yes,no,no,no,56,"['academic', 'Adobe', 'backup', 'coaching', 'conferences', 'counseling', 'course development', 'Crystal Reports', 'curriculum design', 'Curriculum Development', 'Customer Service', 'Customer Service', 'data entry', 'designing', 'direction', 'documentation', 'Information Mapping', 'instruction', 'instructor', 'instructional design', 'knowledge management', 'team leader', 'lesson plans', 'managing', 'materials', 'Math', 'meetings', 'mentoring', 'MS Word', 'Works', 'multimedia', 'needs analysis', 'Order Entry', 'organizational', 'policies', 'writing prescriptions', 'processes', 'progress', 'Project Management', 'quality', 'quick', 'Reading', 'sales', 'Supply Chain', 'task analysis', 'teacher', 'Technical Writing', 'user documentation', 'phone', 'trainer', 'training materials', 'Training Manuals', 'training programs', 'Tutoring', 'website', 'workshops']",1
TECHNICAL DESIGNER,,Bachelor,high school,engineering,5.0,no,no,no,no,46,"['asset management', 'automation', 'business systems', 'C', 'controller', 'Client', 'Database', 'Designing', 'Eclipse', 'Eclipse 4', 'engineer', 'English', 'EJB', 'XML', 'features', 'focus', 'Hindi', 'Java', 'Java 6.0', 'JSP', 'JBOSS', 'jQuery', 'logistics', 'meetings', 'Office', 'MySQL', 'Oracle', 'PLSQL', 'Coding', 'programming', 'project management', 'purchasing', 'express', 'Requirement', 'Servers', 'shipping', 'specification', 'SQL', 'Struts', 'supervisor', 'system configuration', 'system engineering', 'UML', 'vision', 'wealth management', 'Weblogic']",3
INSTRUCTIONAL DESIGNER,Motivating and talented Instructional Designer driven to inspire students to pursue academic and personal excellence,Master,university,education,30.0,no,no,yes,no,0,[],1
PRODUCT DESIGNER,4-5 years engineering experience and 1-2 years working experience,Master,university,science,5.0,yes,no,yes,no,3,"['          CAD  Complex problem solving  Stress analysis training  Component functions and testing requirements  Technical direction and product strategies  Works well in diverse team environment  Strong decision maker    Engine components', 'pumps', 'and fuel systems knowledgeFEA toolsAutoCAD proficientTeam leadershipManufacturing systems integrationManufacturing systems integration']",2
FORMS DESIGNER,Professionally trained  [job title]  with experience ensuring high standards of culturally competent care for wide variety of patients with diverse needs,Master,university,fine arts,13.0,no,no,no,no,2,"['      Strong clinical judgment  High level of autonomy  Patient/family focused  Patient evaluation/intervention  Professional bedside manner  Adept at prioritizing/managing deadlines      Safe NG tube insertion and removal  Thorough physical assessments  Tracheotomy care  Foley catheter insertion/removal familiarity  Insulin medication assistance             Work History      Forms Designer', '']",1
INFORMATION DESIGNER,"of Qualifications    Strong leadership, project management, System Administration and technical skills to meet the efficiency and optimization needs",Bachelor,university,science,3.0,no,no,no,no,0,[],1
INDEPENDENT DESIGNER,Independent and results driven Design Professional with an extensive background in the design process,Bachelor,university,arts,52.0,no,no,no,no,0,[],1
